id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
36901,Violent Shit 3 - Infantry of Doom,Violent Shit 3 - Infantry of Doom,de,1999-03-21,1.317,13,3.2,0,0,79,Released,False,"Action, Horror",0
402456,The Phantom Hour,The Phantom Hour,en,2017-02-17,0.6,0,0.0,0,0,8,Released,False,"Comedy, Horror, Mystery",0
38498,Hard Ride to Hell,Hard Ride to Hell,en,2010-05-18,2.181,14,4.9,0,0,94,Released,False,Horror,0
32009,Dead Wood,Dead Wood,en,2007-01-01,2.663,10,4.4,0,0,85,Released,False,Horror,0
83172,Spawn of the Slithis,Spawn of the Slithis,en,1978-07-21,3.031,30,4.9,0,0,86,Released,False,"Horror, Science Fiction",0
676299,Poradnik Uśmiechu 6 - Jak swoje dziecko,Smile Guide 6 - How Your Child,pl,2017-04-01,0.6,1,10.0,0,0,7,Released,False,Horror,0
741964,Carolina Grindhouse: Anderson's Own Horror Movie,Carolina Grindhouse: Anderson's Own Horror Movie,en,2019-10-19,0.6,1,8.0,0,0,92,Released,False,Horror,0
322584,夢女恨,Snake Woman,zh,1983-01-01,0.626,0,0.0,0,0,90,Released,False,"Horror, Mystery, Thriller",0
468278,Formosura,Formosura,pt,2016-12-13,0.6,1,10.0,0,0,17,Released,False,"Adventure, Comedy, Fantasy, Horror",0
508385,Wayfarers,Wayfarers,en,2017-05-26,0.6,0,0.0,50,0,6,Released,False,"Comedy, Horror, Science Fiction",-50
74072,"Simon, King of the Witches","Simon, King of the Witches",en,1971-04-02,2.483,14,5.6,0,0,99,Released,False,"Comedy, Drama, Horror",0
891253,Village of Darkness,Village of Darkness,en,2022-05-26,0.6,0,0.0,2300,0,16,Released,False,"Horror, Mystery, Science Fiction",-2300
485620,The Screaming Skull,The Screaming Skull,en,1973-01-01,0.84,0,0.0,0,0,66,Released,False,Horror,0
412542,Inside Scarlett,Inside Scarlett,en,2016-04-21,0.6,5,6.2,0,0,89,Released,False,"Comedy, Horror",0
631574,Notívago,Notívago,pt,2003-05-31,0.6,0,0.0,0,0,13,Released,False,Horror,0
733057,Perempuan Bergaun Merah,Perempuan Bergaun Merah,id,2022-11-03,1.178,0,0.0,0,0,0,Post Production,False,"Horror, Thriller",0
